f_wh, f_wmt, f_posh, f_posmt, class
 -22.140546, -24.011934, -23.029114, -24.109038,1
 -27.532953, -32.554375, -24.361144, -29.249583,1
 -19.015449, -43.110182, -13.848115, -14.164210,1
 -31.591463, -37.029352, -14.996097, -16.020044,1
 -31.950262, -31.539375, -24.182737, -23.540594,1
 -83.273581, -46.942842, -10.916186, -11.289148,1
 -14.975707, -10.254123, -37.869241, -40.973395,1
 -108.998304, -59.308333, -43.701049, -43.811606,1
 -36.643594, -89.766273, -22.829867, -23.643154,1
 -48.944222, -40.422008, -5.407761, -4.697362,1
 -60.819115, -103.513173, -6.491299, -6.892706,1
 -21.496920, -44.279287, -10.986128, -11.209216,1
 -10.228661, -5.600898, -9.810536, -9.007328,1
 -21.463243, -28.337376, -11.695021, -13.281920,1
 -37.454340, -73.135329, -23.098801, -23.466729,1
 -78.866021, -33.756680, -26.587970, -27.453583,1
 -12.745513, -18.082219, -7.909677, -8.177681,1
 -65.375984, -97.456575, -19.852974, -19.604122,1
 -55.576438, -46.944796, -28.185120, -27.303808,1
 -25.641334, -57.239807, -19.566797, -18.834969,1
 -49.269565, -35.295847, -14.231624, -14.354634,1
 -28.257101, -48.350209, -9.971005, -10.054857,1
 -36.049017, -54.555169, -79.591160, -82.194676,1
 -46.920370, -81.356652, -10.774558, -10.349918,1
 -34.217722, -35.649635, -12.929094, -14.081413,1
 -33.866706, -86.499535, -3.291111, -3.605503,1
 -18.270613, -22.960606, -65.143631, -69.108716,1
 -57.757492, -36.035137, -16.448381, -17.547952,1
 -36.301187, -69.546849, -33.982072, -34.899478,1
 -17.751697, -24.462584, -65.628900, -67.578966,1
 -13.980765, -5.519087, -37.391538, -38.740550,1
 -35.109330, -53.097269, -19.382233, -20.698165,1
 -38.404978, -55.976748, -59.720431, -62.207102,1
 -12.617835, -14.625811, -9.809126, -9.872827,1
 -34.993477, -54.486991, -16.070872, -16.986999,1
 -14.593474, -15.800484, -10.910790, -11.413248,1
 -37.141281, -39.387836, -6.160558, -6.506354,1
 -10.962761, -17.983870, -27.076791, -26.306652,1
 -7.504546, -8.836347, -3.811632, -3.450366,1
 -36.973633, -38.237577, -24.639613, -26.541993,1
 -26.591455, -33.200472, -31.104258, -35.942174,1
 -22.639995, -32.020082, -5.408185, -5.659008,1
 -46.315331, -27.575807, -22.303116, -24.181011,1
 -92.479997, -100.055246, -15.631095, -15.603871,1
 -27.191517, -59.815891, -16.780583, -18.555652,1
 -61.336807, -55.021023, -13.235796, -13.253482,1
 -40.703376, -83.585637, -33.822110, -33.719027,1
 -45.698752, -75.381283, -22.997573, -22.436560,1
 -24.095010, -56.863013, -19.102225, -19.663413,1
 -35.154435, -54.512700, -12.260480, -12.287500,1
 -11.119600, -12.483536, -31.824472, -30.785757,1
 -39.521412, -52.766478, -41.404509, -43.910795,1
 -43.047272, -76.075604, -5.418287, -7.223114,1
 -65.420378, -74.994405, -41.574825, -42.116012,1
 -22.556768, -35.091157, -15.224383, -16.558962,1
 -28.900877, -25.285191, -40.766012, -40.614363,1
 -52.701664, -28.346407, -9.850786, -11.038207,1
 -23.148786, -20.499297, -8.908401, -12.857788,1
 -42.992565, -107.434825, -13.830405, -13.841324,1
 -51.636384, -44.663928, -20.481495, -19.823541,1
 -34.661132, -45.382358, -15.363464, -15.006178,1
 -58.074395, -111.212115, -4.595158, -4.106085,1
 -25.600086, -25.277205, -19.737333, -19.747255,1
 -59.614069, -44.201321, -9.155847, -9.753316,1
 -19.288071, -29.101842, -6.103305, -6.242808,1
 -24.396355, -46.436070, -5.372839, -5.858564,1
 -24.367916, -38.014727, -23.723200, -22.301735,1
